actor,pelicula
Bob Balaban,Lady in the Water
Bob the Cat,A Street Cat Named Bob
Bokeem Woodbine,Total Recall
Boman Irani,PK
Bonnie Hunt,Cars
Boy Olmi,Los simuladores
Boyd Holbrook,A Walk Among the Tombstones
Brad Garrett,Ratatouille
Brad Pitt,12 Years a Slave
Brad Pitt,Allied
Brad Pitt,Babel
Brad Pitt,Fury
Brad Pitt,Inglourious Basterds
Brad Pitt,Megamind
Brad Pitt,Moneyball
Brad Pitt,Ocean's Thirteen
Brad Pitt,The Assassination of Jesse James by the Coward Robert Ford
Brad Pitt,The Big Short
Brad Pitt,The Curious Case of Benjamin Button
Brad Pitt,The Tree of Life
Brad Pitt,World War Z
Bradley Cooper,American Hustle
Bradley Cooper,American Sniper
Bradley Cooper,Burnt
Bradley Cooper,Guardians of the Galaxy
Bradley Cooper,Joy
Bradley Cooper,Limitless
Bradley Cooper,Silver Linings Playbook
Bradley Cooper,The A-Team
Bradley Cooper,The Hangover
Bradley Cooper,The Midnight Meat Train
Bradley Cooper,The Place Beyond the Pines
Brady Corbet,Funny Games
Branden Coles,2307: Winter's Dream
Brandon Routh,Superman Returns
Brandon Scott,Blair Witch
Brandon T. Jackson,Percy Jackson & the Olympians: The Lightning Thief
Brandon T. Jackson,Percy Jackson: Sea of Monsters
Brea Grant,Beyond the Gates
Bree Turner,The Ugly Truth
Brenda Blethyn,Atonement
Brenda Gandini,La redada
Brendan Fraser,The Mummy: Tomb of the Dragon Emperor
Brendan Gleeson,Assassin's Creed
Brendan Gleeson,Edge of Tomorrow
Brendan Gleeson,Harry Potter and the Order of the Phoenix
Brendan Gleeson,In Bruges
Brendan Gleeson,In the Heart of the Sea
Brendan Gleeson,Live by Night
Brenton Thwaites,Gods of Egypt
Brenton Thwaites,Oculus
Brenton Thwaites,The Giver
Brett Cullen,The Shallows
Bria L. Murphy,Amateur Night
Brian Buley,El Marginal
Brian Caspe,Anthropoid
Brian Cox,The Autopsy of Jane Doe
Brian Dennehy,Knight of Cups
Brian Geraghty,The Hurt Locker
Brian Howe,The Pursuit of Happyness
Brian Marc,White Girl
Brian Milligan,Hunger
Brian White,Only for One Night
Briana Evigan,Step Up 2: The Streets
Briana Shann,"I, Daniel Blake"
Bridgette Barrett,Sleeping Beauty
Brie Larson,21 Jump Street
Brie Larson,Free Fire
Brie Larson,Room
Brie Larson,The Gambler
Brie Larson,Trainwreck
Brighton Sharbino,Miracles from Heaven
Brit Marling,I Origins
Brit Morgan,Friend Request
Britt Robertson,Mr. Church
Britt Robertson,The First Time
Britt Robertson,The Longest Ride
Britt Robertson,Tomorrowland
Brittany Blanton,Don't Fuck in the Woods
Brittany Murphy,Happy Feet
Brittany Snow,Pitch Perfect
